iter	Passed	Remaining
564	5998	4618
565	6005	4604
566	6012	4591
567	6018	4577
568	6026	4564
569	6033	4551
570	6040	4538
571	6047	4524
572	6054	4511
573	6060	4498
574	6067	4484
575	6074	4471
576	6081	4458
577	6088	4445
578	6095	4431
579	6102	4419
580	6109	4405
581	6116	4393
582	6123	4380
583	6131	4367
584	6137	4354
585	6145	4341
586	6151	4328
587	6158	4315
588	6165	4302
589	6172	4289
590	6179	4276
591	6186	4263
592	6193	4250
593	6199	4237
594	6207	4225
595	6214	4212
596	6221	4199
597	6228	4186
598	6235	4174
599	6241	4161
600	6248	4148
601	6255	4135
602	6261	4122
603	6268	4110
604	6275	4097
605	6282	4084
606	6289	4072
607	6296	4059
608	6303	4046
609	6310	4034
610	6317	4021
611	6323	4009
612	6331	3997
613	6338	3984
614	6344	3971
615	6351	3959
616	6359	3947
617	6365	3934
618	6372	3922
619	6379	3910
620	6386	3897
621	6393	3885
622	6400	3872
623	6407	3860
624	6414	3848
625	6421	3836
626	6429	3824
627	6435	3812
628	6443	3800
629	6450	3788
630	6457	3776
631	6465	3765
632	6474	3753
633	6482	3741
634	6488	3729
635	6495	3717
636	6502	3705
637	6510	3694
638	6517	3681
639	6524	3669
640	6531	3657
641	6537	3645
642	6544	3633
643	6551	3621
644	6558	3609
645	6565	3597
646	6572	3585
647	6579	3573
648	6585	3561
649	6592	3549
650	6599	3537
651	6605	3525
652	6612	3513
653	6619	3501
654	6626	3490
655	6633	3478
656	6640	3466
657	6646	3454
658	6652	3442
659	6659	3430
660	6666	3418
661	6673	3407
662	6679	3395
663	6687	3383
664	6693	3371
665	6700	3360
666	6706	3348
667	6712	3336
668	6718	3324
669	6725	3312
670	6732	3301
671	6739	3289
672	6746	3278
673	6754	3266
674	6761	3255
675	6767	3243
676	6774	3232
677	6781	3220
678	6788	3209
679	6795	3197
680	6802	3186
681	6811	3176
682	6818	3164
683	6825	3153
684	6832	3141
685	6839	3130
686	6846	3119
687	6854	3108
688	6861	3096
689	6868	3085
690	6875	3074
691	6882	3063
692	6888	3051
693	6895	3040
694	6902	3029
695	6909	3018
696	6916	3006
697	6923	2995
698	6930	2984
699	6937	2973
700	6944	2962
701	6951	2950
702	6958	2939
703	6965	2928
704	6972	2917
705	6979	2906
706	6986	2895
707	6993	2884
708	6999	2872
709	7007	2862
710	7014	2851
711	7023	2840
712	7030	2830
713	7038	2819
714	7044	2808
715	7052	2797
716	7059	2786
717	7066	2775
718	7073	2764
719	7080	2753
720	7087	2742
721	7094	2731
722	7101	2720
723	7108	2709
724	7115	2698
725	7121	2687
726	7128	2676
727	7135	2665
728	7142	2655
729	7149	2644
730	7156	2633
731	7163	2622
732	7170	2611
733	7178	2601
734	7185	2590
735	7191	2579
736	7197	2568
737	7204	2557
738	7212	2547
739	7219	2536
740	7226	2525
741	7233	2515
742	7240	2504
743	7247	2493
744	7254	2482
745	7261	2472
746	7267	2461
747	7274	2450
748	7280	2439
749	7288	2429
750	7295	2418
751	7302	2408
752	7309	2397
753	7315	2386
754	7322	2376
755	7329	2365
756	7336	2355
757	7343	2344
758	7350	2333
759	7357	2323
760	7364	2312
761	7370	2302
762	7378	2291
763	7384	2281
764	7391	2270
765	7398	2260
766	7405	2249
767	7412	2239
768	7419	2228
769	7426	2218
770	7434	2208
771	7443	2198
772	7451	2188
773	7458	2177
774	7465	2167
775	7473	2157
776	7480	2146
777	7489	2136
778	7496	2126
779	7504	2116
780	7511	2106
781	7518	2096
782	7525	2085
783	7532	2075
784	7539	2065
785	7546	2054
786	7553	2044
787	7560	2033
788	7567	2023
789	7573	2013
790	7580	2002
791	7587	1992
792	7595	1982
793	7601	1972
794	7609	1962
795	7615	1951
796	7621	1941
797	7628	1930
798	7635	1920
799	7642	1910
800	7648	1900
801	7655	1890
802	7662	1879
803	7669	1869
804	7675	1859
805	7683	1849
806	7689	1839
807	7696	1828
808	7703	1818
809	7710	1808
810	7717	1798
811	7724	1788
812	7731	1778
813	7738	1768
814	7746	1758
815	7753	1748
816	7760	1738
817	7767	1728
818	7774	1718
819	7783	1708
820	7790	1698
821	7797	1688
822	7803	1678
823	7810	1668
824	7816	1658
825	7823	1648
826	7830	1637
827	7836	1627
828	7843	1617
829	7850	1607
830	7856	1597
831	7862	1587
832	7869	1577
833	7876	1567
834	7882	1557
835	7889	1547
836	7896	1537
837	7902	1527
838	7909	1517
839	7915	1507
840	7922	1497
841	7928	1487
842	7934	1477
843	7942	1468
844	7951	1458
845	7958	1448
846	7965	1438
847	7971	1428
848	7978	1419
849	7984	1409
850	7991	1399
851	7997	1389
852	8004	1379
853	8011	1369
854	8017	1359
855	8025	1350
856	8034	1340
857	8042	1330
858	8049	1321
859	8055	1311
860	8062	1301
861	8069	1291
862	8076	1282
863	8083	1272
864	8090	1262
865	8097	1252
866	8104	1243
867	8112	1233
868	8118	1223
869	8125	1214
870	8132	1204
871	8139	1194
872	8149	1185
873	8157	1176
874	8165	1166
875	8180	1157
876	8195	1149
877	8210	1140
878	8221	1131
879	8231	1122
880	8240	1113
881	8249	1103
882	8256	1094
883	8265	1084
884	8273	1075
885	8279	1065
886	8287	1055
887	8297	1046
888	8307	1037
889	8314	1027
890	8322	1018
891	8329	1008
892	8337	999
893	8346	989
894	8354	980
895	8361	970
896	8368	960
897	8375	951
898	8382	941
899	8389	932
900	8396	922
901	8403	912
902	8410	903
903	8418	893
904	8424	884
905	8431	874
906	8438	865
907	8445	855
908	8452	846
909	8459	836
910	8465	827
911	8472	817
912	8480	808
913	8488	798
914	8495	789
915	8503	779
916	8512	770
917	8520	761
918	8535	752
919	8553	743
920	8567	734
921	8577	725
922	8596	717
923	8604	707
924	8613	698
925	8621	688
926	8629	679
927	8637	670
928	8646	660
929	8653	651
930	8661	641
931	8668	632
932	8675	623
933	8682	613
934	8689	604
935	8696	594
936	8703	585
937	8710	575
938	8716	566
939	8723	556
940	8729	547
941	8739	538
942	8746	528
943	8753	519
944	8760	509
945	8767	500
946	8773	491
947	8780	481
948	8787	472
949	8793	462
950	8800	453
951	8807	444
952	8814	434
953	8821	425
954	8827	415
955	8834	406
956	8841	397
957	8847	387
958	8854	378
959	8861	369
960	8868	359
961	8874	350
962	8881	341
963	8888	331
964	8894	322
965	8900	313
966	8907	303
967	8914	294
968	8920	285
969	8927	276
970	8934	266
971	8940	257
972	8947	248
973	8954	239
974	8960	229
975	8967	220
976	8974	211
977	8981	202
978	8987	192
979	8994	183
980	9001	174
981	9007	165
982	9014	155
983	9021	146
984	9028	137
985	9034	128
986	9041	119
987	9048	109
988	9055	100
989	9061	91
990	9068	82
991	9074	73
992	9082	64
993	9088	54
994	9096	45
995	9103	36
996	9112	27
997	9119	18
998	9126	9
999	9133	0
